year,movie title,rating,genre,star,director,writer,country,company,score,votes,budget,gross,gross us,gross overseas,runtime,released,more success overseas
1997,The Full Monty,R,Comedy,Robert Carlyle,Peter Cattaneo,Simon Beaufoy,UK,Redwave Films,7.2,86993,3500000,257900000,46000000,212000000,91,9/19/1997,1
2003,Charlie's Angels: Full Throttle,PG-13,Action,Drew Barrymore,McG,Ivan Goff,USA,Columbia Pictures Corporation,4.8,105990,120000000,259200000,100800000,158300000,106,6/27/2003,1
2014,Paddington,PG,Animation,Hugh Bonneville,Paul King,Paul King,UK,StudioCanal,7.2,56480,55000000,259500000,76200000,183300000,95,1/16/2015,1
2011,Super 8,PG-13,Mystery,Elle Fanning,J.J. Abrams,J.J. Abrams,USA,Paramount Pictures,7,303656,50000000,260100000,127000000,133100000,112,6/10/2011,1
2013,The Lone Ranger,PG-13,Action,Johnny Depp,Gore Verbinski,Justin Haythe,USA,Walt Disney Pictures,6.5,194951,215000000,260500000,89300000,171200000,150,7/3/2013,1
2005,Robots,PG,Animation,Ewan McGregor,Chris Wedge,Ron Mita,USA,Twentieth Century Fox Animation,6.3,111639,75000000,260700000,128200000,132500000,91,3/11/2005,1
2012,Total Recall,PG-13,Action,Colin Farrell,Len Wiseman,Kurt Wimmer,USA,Total Recall,6.3,214699,125000000,261300000,119400000,141900000,118,8/3/2012,1
2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R,Comedy,Sacha Baron Cohen,Larry Charles,Sacha Baron Cohen,USA,Four by Two,7.3,312878,18000000,261600000,128500000,133100000,84,11/3/2006,1
2004,Bridget Jones: The Edge of Reason,R,Comedy,Renée Zellweger,Beeban Kidron,Helen Fielding,UK,Universal Pictures,5.9,86030,40000000,262500000,40200000,222300000,108,11/19/2004,1
1995,Jumanji,PG,Action,Robin Williams,Joe Johnston,Jonathan Hensleigh,USA,TriStar Pictures,6.9,232339,50000000,262800000,100500000,162300000,104,12/15/1995,1
1997,The Fifth Element,PG-13,Action,Bruce Willis,Luc Besson,Luc Besson,France,Gaumont,7.7,371054,93000000,263900000,63800000,200100000,126,5/9/1997,1
2000,Charlie's Angels,PG-13,Action,Cameron Diaz,McG,Ryan Rowe,USA,Columbia Pictures Corporation,5.5,153010,93000000,264100000,125300000,138800000,98,11/3/2000,1
1998,The Truman Show,PG,Comedy,Jim Carrey,Peter Weir,Andrew Niccol,USA,Paramount Pictures,8.1,740961,60000000,264100000,125600000,138500000,103,6/5/1998,1
1995,Waterworld,PG-13,Action,Kevin Costner,Kevin Reynolds,Peter Rader,USA,Universal Pictures,6.1,153742,175000000,264200000,88200000,176000000,135,7/28/1995,1
2007,American Gangster,R,Biography,Denzel Washington,Ridley Scott,Steven Zaillian,USA,Universal Pictures,7.8,342994,100000000,266500000,130200000,136300000,157,11/2/2007,1
1993,Indecent Proposal,R,Drama,Robert Redford,Adrian Lyne,Jack Engelhard,USA,Paramount Pictures,5.8,51687,38000000,266600000,106600000,160000000,117,4/7/1993,1
2003,Something's Gotta Give,PG-13,Comedy,Jack Nicholson,Nancy Meyers,Nancy Meyers,USA,Columbia Pictures Corporation,6.7,96603,80000000,266700000,124700000,142000000,128,12/12/2003,1
2009,The Princess and the Frog,G,Animation,Anika Noni Rose,Ron Clements,Ron Clements,USA,Walt Disney Animation Studios,7.1,97887,105000000,267000000,104400000,162600000,97,12/11/2009,1
2014,Exodus: Gods and Kings,PG-13,Action,Christian Bale,Ridley Scott,Adam Cooper,UK,Chernin Entertainment,6,140323,140000000,268000000,65000000,203000000,150,12/12/2014,1
2013,Epic,PG,Animation,Amanda Seyfried,Chris Wedge,James V. Hart,USA,Twentieth Century Fox Animation,6.7,90501,100000000,268400000,107500000,160900000,102,5/24/2013,1
1991,The Silence of the Lambs,R,Crime,Jodie Foster,Jonathan Demme,Thomas Harris,USA,Strong Heart/Demme Production,8.6,990212,19000000,272700000,130700000,142000000,118,2/14/1991,1
2014,Mr. Peabody & Sherman,PG,Animation,Ty Burrell,Rob Minkoff,Jay Ward,USA,Bullwinkle Studios,6.8,52421,145000000,272900000,111500000,161400000,92,3/7/2014,1
1996,The Nutty Professor,PG-13,Comedy,Eddie Murphy,Tom Shadyac,Jerry Lewis,USA,Imagine Entertainment,5.6,92803,54000000,274000000,128800000,145100000,95,6/28/1996,1
2013,Cloudy with a Chance of Meatballs 2,PG,Animation,Bill Hader,Cody Cameron,Erica Rivinoja,USA,Columbia Pictures,6.4,71615,78000000,274300000,119800000,154500000,95,9/27/2013,1
2010,The Expendables,R,Action,Sylvester Stallone,Sylvester Stallone,Dave Callaham,USA,Millennium Films,6.5,288429,80000000,274500000,103100000,171400000,103,8/13/2010,1
2001,Lara Croft: Tomb Raider,PG-13,Action,Angelina Jolie,Simon West,Sara B. Cooper,USA,Paramount Pictures,5.8,167892,115000000,274700000,131200000,143500000,100,6/15/2001,1
2001,Spirited Away,PG,Animation,Daveigh Chase,Hayao Miyazaki,Hayao Miyazaki,Japan,Tokuma Shoten,8.6,476278,19000000,274900000,10100000,264900000,125,3/28/2003,1
2012,The Bourne Legacy,PG-13,Action,Jeremy Renner,Tony Gilroy,Tony Gilroy,USA,Universal Pictures,6.7,250175,125000000,276100000,113200000,162900000,135,8/10/2012,1
2010,The Tourist,PG-13,Action,Johnny Depp,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,USA,GK Films,6,190376,100000000,278300000,67600000,210700000,103,12/10/2010,1
2001,Bridget Jones's Diary,R,Comedy,Renée Zellweger,Sharon Maguire,Helen Fielding,UK,Miramax,6.7,188905,25000000,281900000,71500000,210400000,97,4/13/2001,1
2013,Turbo,PG,Animation,Ryan Reynolds,David Soren,Darren Lemke,USA,DreamWorks Animation,6.5,67648,135000000,282600000,83000000,199500000,96,7/17/2013,1
2012,John Carter,PG-13,Action,Taylor Kitsch,Andrew Stanton,Andrew Stanton,USA,Walt Disney Pictures,6.6,224234,250000000,284100000,73100000,211100000,132,3/9/2012,1
1998,Lethal Weapon 4,R,Action,Mel Gibson,Richard Donner,Shane Black,USA,Warner Bros.,6.6,135019,140000000,285400000,130400000,155000000,127,7/10/1998,1
2013,Elysium,R,Action,Matt Damon,Neill Blomkamp,Neill Blomkamp,USA,TriStar Pictures,6.6,366674,115000000,286100000,93100000,193100000,109,8/9/2013,1
2013,Oblivion,PG-13,Action,Tom Cruise,Joseph Kosinski,Karl Gajdusek,USA,Universal Pictures,7,418811,120000000,286200000,89100000,197100000,124,4/19/2013,1
1999,The Green Mile,R,Crime,Tom Hanks,Frank Darabont,Stephen King,USA,Castle Rock Entertainment,8.5,879924,60000000,286800000,136800000,150000000,189,12/10/1999,1
2007,Bee Movie,PG,Animation,Jerry Seinfeld,Simon J. Smith,Jerry Seinfeld,USA,DreamWorks Animation,6.1,115409,150000000,287600000,126600000,161000000,91,11/2/2007,1
1995,Casper,PG,Comedy,Bill Pullman,Brad Silberling,Joseph Oriolo,USA,Universal Pictures,6,94596,50000000,287900000,100300000,187600000,100,5/26/1995,1
2010,Sex and the City 2,R,Comedy,Sarah Jessica Parker,Michael Patrick King,Michael Patrick King,USA,New Line Cinema,4.4,63699,100000000,288300000,95300000,193000000,146,5/27/2010,1
1988,Coming to America,R,Comedy,Eddie Murphy,John Landis,Eddie Murphy,USA,Eddie Murphy Productions,7,130485,39000000,288800000,128200000,160600000,116,6/29/1988,1
1998,Shakespeare in Love,R,Comedy,Gwyneth Paltrow,John Madden,Marc Norman,USA,Universal Pictures,7.2,187035,25000000,289300000,100300000,189000000,123,1/8/1999,1
2006,The Departed,R,Crime,Leonardo DiCaprio,Martin Scorsese,William Monahan,USA,Warner Bros.,8.5,962185,90000000,289800000,132400000,157500000,151,10/6/2006,1
2009,G-Force,PG,Animation,Will Arnett,Hoyt Yeatman,Cormac Wibberley,USA,Jerry Bruckheimer Films,5.1,35516,150000000,292800000,119400000,173400000,88,7/24/2009,1
2010,Salt,PG-13,Action,Angelina Jolie,Phillip Noyce,Kurt Wimmer,USA,Columbia Pictures,6.4,259831,110000000,293500000,118300000,175200000,100,7/23/2010,1
1998,Doctor Dolittle,PG-13,Comedy,Eddie Murphy,Betty Thomas,Hugh Lofting,USA,Twentieth Century Fox Film Corporation,5.3,79986,71500000,294500000,144200000,150300000,85,6/26/1998,1
2010,Shutter Island,R,Mystery,Leonardo DiCaprio,Martin Scorsese,Laeta Kalogridis,USA,Paramount Pictures,8.1,883895,80000000,294800000,128000000,166800000,138,2/19/2010,1
2010,Resident Evil: Afterlife,R,Action,Milla Jovovich,Paul W.S. Anderson,Paul W.S. Anderson,Germany,Constantin Film,5.9,143707,60000000,296200000,60100000,236100000,96,9/10/2010,1
1989,Look Who's Talking,PG-13,Comedy,John Travolta,Amy Heckerling,Amy Heckerling,USA,TriStar Pictures,5.8,67535,7500000,297000000,140100000,156900000,93,10/13/1989,1
2011,Real Steel,PG-13,Action,Hugh Jackman,Shawn Levy,John Gatins,USA,DreamWorks,7.1,268336,110000000,299300000,85500000,213800000,127,10/7/2011,1
1997,My Best Friend's Wedding,PG-13,Comedy,Julia Roberts,P.J. Hogan,Ronald Bass,USA,TriStar Pictures,6.3,106240,46000000,299300000,127100000,172200000,105,6/20/1997,1
2004,Van Helsing,PG-13,Action,Hugh Jackman,Stephen Sommers,Stephen Sommers,USA,Universal Pictures,6,211483,160000000,300300000,120200000,180100000,131,5/7/2004,1
1991,Hook,PG,Adventure,Dustin Hoffman,Steven Spielberg,J.M. Barrie,USA,Amblin Entertainment,6.7,196513,70000000,300900000,119700000,181200000,142,12/11/1991,1
2009,G.I. Joe: The Rise of Cobra,PG-13,Action,Dennis Quaid,Stephen Sommers,Stuart Beattie,USA,Paramount Pictures,5.8,182662,175000000,302500000,150200000,152300000,118,8/7/2009,1
2012,Battleship,PG-13,Action,Alexander Skarsgård,Peter Berg,Jon Hoeber,USA,Universal Pictures,5.8,213632,209000000,303000000,65400000,237600000,131,5/18/2012,1
1998,Mulan,G,Animation,Ming-Na Wen,Tony Bancroft,Robert D. San Souci,USA,Walt Disney Feature Animation Florida,7.6,193214,90000000,304300000,120600000,183700000,88,6/19/1998,1
2013,A Good Day to Die Hard,R,Action,Bruce Willis,John Moore,Skip Woods,USA,Twentieth Century Fox Film Corporation,5.3,175817,92000000,304700000,67300000,237300000,98,2/14/2013,1
2012,The Expendables 2,R,Action,Sylvester Stallone,Simon West,Richard Wenk,USA,Millennium Films,6.6,261485,100000000,305400000,85000000,220400000,103,8/17/2012,1
2012,Rise of the Guardians,PG,Animation,Hugh Jackman,Peter Ramsey,David Lindsay-Abaire,USA,DreamWorks Animation,7.3,133291,145000000,306900000,103400000,203500000,97,11/21/2012,1
2014,The Fault in Our Stars,PG-13,Drama,Shailene Woodley,Josh Boone,Scott Neustadter,USA,Fox 2000 Pictures,7.8,280217,12000000,307200000,124900000,182400000,126,6/6/2014,1
1999,Runaway Bride,PG,Comedy,Julia Roberts,Garry Marshall,Josann McGibbon,USA,Paramount Pictures,5.5,79935,70000000,309500000,152300000,157200000,116,7/30/1999,1
1996,Ransom,R,Action,Mel Gibson,Ron Howard,Cyril Hume,USA,Touchstone Pictures,6.6,104513,80000000,309500000,136500000,173000000,121,11/8/1996,1
2008,Bolt,PG,Animation,John Travolta,Byron Howard,Dan Fogelman,USA,Walt Disney Animation Studios,6.9,158580,150000000,310000000,114100000,195900000,96,11/21/2008,1
2010,Little Fockers,PG-13,Comedy,Ben Stiller,Paul Weitz,John Hamburg,USA,Universal Pictures,5.5,91634,100000000,310700000,148400000,162200000,98,12/22/2010,1
2007,Ocean's Thirteen,PG-13,Crime,George Clooney,Steven Soderbergh,Brian Koppelman,USA,Warner Bros.,6.9,274708,85000000,311300000,117200000,194200000,122,6/8/2007,1
1997,As Good as It Gets,PG-13,Comedy,Jack Nicholson,James L. Brooks,Mark Andrus,USA,TriStar Pictures,7.7,238028,50000000,314200000,148500000,165700000,139,12/25/1997,1
2005,Chicken Little,G,Animation,Zach Braff,Mark Dindal,Mark Dindal,USA,Walt Disney Pictures,5.8,70253,150000000,314400000,135400000,179000000,81,11/4/2005,1
2013,The Conjuring,R,Horror,Patrick Wilson,James Wan,Chad Hayes,USA,New Line Cinema,7.5,342870,20000000,318000000,137400000,180600000,112,7/19/2013,1
2010,The Last Airbender,PG,Action,Noah Ringer,M. Night Shyamalan,M. Night Shyamalan,USA,Paramount Pictures,4.2,127467,150000000,319700000,131800000,187900000,103,7/1/2010,1
1987,Fatal Attraction,R,Drama,Michael Douglas,Adrian Lyne,James Dearden,USA,Paramount Pictures,6.9,60383,14000000,320100000,156600000,163500000,119,9/18/1987,1
1993,Schindler's List,R,Biography,Liam Neeson,Steven Spielberg,Thomas Keneally,USA,Universal Pictures,8.9,956124,22000000,321300000,96100000,225200000,195,2/4/1994,1
2009,Inglourious Basterds,R,Adventure,Brad Pitt,Quentin Tarantino,Quentin Tarantino,USA,Universal Pictures,8.3,988686,75000000,321500000,120500000,200900000,153,8/21/2009,1
2010,Robin Hood,PG-13,Action,Russell Crowe,Ridley Scott,Brian Helgeland,USA,Universal Pictures,6.7,224548,200000000,321700000,105300000,216400000,140,5/14/2010,1
1992,Lethal Weapon 3,R,Action,Mel Gibson,Richard Donner,Jeffrey Boam,USA,Warner Bros.,6.7,136206,35000000,321700000,144700000,177000000,118,5/15/1992,1
2010,Megamind,PG,Animation,Will Ferrell,Tom McGrath,Alan Schoolcraft,USA,DreamWorks Animation,7.3,188234,130000000,321900000,148400000,173500000,95,11/5/2010,1
1996,The Hunchback of Notre Dame,G,Animation,Demi Moore,Gary Trousdale,Tab Murphy,USA,Walt Disney Feature Animation,6.9,113772,100000000,325300000,100100000,225200000,91,6/21/1996,1
2006,The Devil Wears Prada,PG-13,Comedy,Anne Hathaway,David Frankel,Aline Brosh McKenna,USA,Fox 2000 Pictures,6.8,308388,35000000,326600000,124700000,201800000,109,6/30/2006,1
2010,Black Swan,R,Drama,Natalie Portman,Darren Aronofsky,Mark Heyman,USA,Fox Searchlight Pictures,8,594148,13000000,329400000,107000000,222400000,108,12/17/2010,1
1988,Who Framed Roger Rabbit,PG,Animation,Bob Hoskins,Robert Zemeckis,Gary K. Wolf,USA,Touchstone Pictures,7.7,153513,70000000,329800000,156500000,173400000,104,6/22/1988,1
2015,Fantastic Four,PG-13,Action,Miles Teller,Josh Trank,Jeremy Slater,USA,Twentieth Century Fox Film Corporation,4.3,125934,120000000,330600000,154700000,175900000,100,8/7/2015,1
2005,Fantastic Four,PG-13,Action,Ioan Gruffudd,Tim Story,Mark Frost,USA,Twentieth Century Fox Film Corporation,5.7,280250,100000000,330600000,154700000,175900000,106,7/8/2005,1
1989,Back to the Future Part II,PG,Adventure,Michael J. Fox,Robert Zemeckis,Robert Zemeckis,USA,Universal Pictures,7.8,377402,40000000,332000000,118500000,213500000,108,11/22/1989,1
1997,Tomorrow Never Dies,PG-13,Action,Pierce Brosnan,Roger Spottiswoode,Bruce Feirstein,UK,Eon Productions,6.5,157749,110000000,333000000,125300000,207700000,119,12/19/1997,1
2008,The Curious Case of Benjamin Button,PG-13,Drama,Brad Pitt,David Fincher,Eric Roth,USA,Warner Bros.,7.8,495968,150000000,333900000,127500000,206400000,166,12/25/2008,1
1996,The Rock,R,Action,Sean Connery,Michael Bay,David Weisberg,USA,Hollywood Pictures,7.4,274324,75000000,335100000,134100000,201000000,136,6/7/1996,1
2012,Journey 2: The Mysterious Island,PG,Action,Josh Hutcherson,Brad Peyton,Brian Gunn,USA,New Line Cinema,5.8,73718,79000000,335300000,103900000,231400000,94,2/10/2012,1
2006,Over the Hedge,PG,Animation,Bruce Willis,Tim Johnson,Len Blum,USA,DreamWorks Animation,6.8,136214,80000000,336000000,155000000,181000000,83,5/19/2006,1
2010,Prince of Persia: The Sands of Time,PG-13,Action,Jake Gyllenhaal,Mike Newell,Boaz Yakin,USA,Walt Disney Pictures,6.6,237542,200000000,336400000,90800000,245600000,116,5/28/2010,1
2014,300: Rise of an Empire,R,Action,Sullivan Stapleton,Noam Murro,Zack Snyder,USA,Warner Bros.,6.2,242932,110000000,337600000,106600000,231000000,102,3/7/2014,1
2007,Enchanted,PG,Animation,Amy Adams,Kevin Lima,Bill Kelly,USA,Walt Disney Pictures,7.1,153161,85000000,340500000,127800000,212700000,107,11/21/2007,1
2014,The Maze Runner,PG-13,Action,Dylan O'Brien,Wes Ball,Noah Oppenheim,USA,Twentieth Century Fox Film Corporation,6.8,344991,34000000,340800000,102400000,238300000,113,9/19/2014,1
2008,Wanted,R,Action,Angelina Jolie,Timur Bekmambetov,Michael Brandt,USA,Universal Pictures,6.7,317547,75000000,341400000,134500000,206900000,110,6/27/2008,1
1994,The Flintstones,PG,Comedy,John Goodman,Brian Levant,Tom S. Parker,USA,Universal Pictures,4.8,64538,46000000,341600000,130500000,211100000,91,5/27/1994,1
2011,Alvin and the Chipmunks: Chipwrecked,G,Animation,Justin Long,Mike Mitchell,Jonathan Aibel,USA,Fox 2000 Pictures,4.4,24939,75000000,342700000,133100000,209600000,87,12/16/2011,1
1995,Pocahontas,G,Animation,Mel Gibson,Mike Gabriel,Carl Binder,USA,Walt Disney Pictures,6.7,133708,55000000,346100000,141600000,204500000,81,6/23/1995,1
2004,"I, Robot",PG-13,Action,Will Smith,Alex Proyas,Jeff Vintar,USA,Twentieth Century Fox Film Corporation,7.1,423244,120000000,347200000,144800000,202400000,115,7/16/2004,1
2013,The Smurfs 2,PG,Animation,Neil Patrick Harris,Raja Gosnell,J. David Stem,USA,Columbia Pictures,5.4,30631,105000000,347500000,71000000,276500000,105,7/31/2013,1
2004,National Treasure,PG,Action,Nicolas Cage,Jon Turteltaub,Jim Kouf,USA,Walt Disney Pictures,6.9,268591,100000000,347500000,173000000,174500000,131,11/19/2004,1
1998,Deep Impact,PG-13,Action,Robert Duvall,Mimi Leder,Bruce Joel Rubin,USA,Paramount Pictures,6.1,142094,75000000,349500000,140500000,209000000,120,5/8/1998,1
2000,Dinosaur,PG,Animation,D.B. Sweeney,Eric Leighton,Thom Enriquez,USA,Walt Disney Pictures,6.5,42134,127500000,349800000,137700000,212100000,82,5/19/2000,1
1994,Speed,R,Action,Keanu Reeves,Jan de Bont,Graham Yost,USA,The Mark Gordon Company,7.2,279357,30000000,350400000,121200000,229200000,116,6/10/1994,1
1994,The Mask,PG-13,Comedy,Jim Carrey,Chuck Russell,Michael Fallon,USA,New Line Cinema,6.9,286352,18000000,351600000,119900000,231600000,101,7/29/1994,1
2001,Hannibal,R,Crime,Anthony Hopkins,Ridley Scott,Thomas Harris,USA,Metro-Goldwyn-Mayer (MGM),6.8,221016,87000000,351700000,165100000,186600000,131,2/9/2001,1
2013,Now You See Me,PG-13,Crime,Jesse Eisenberg,Louis Leterrier,Ed Solomon,USA,Summit Entertainment,7.3,505432,75000000,351700000,117700000,234000000,115,5/31/2013,1
2002,Catch Me If You Can,PG-13,Biography,Leonardo DiCaprio,Steven Spielberg,Jeff Nathanson,USA,DreamWorks,8.1,611179,52000000,352100000,164600000,187500000,141,12/25/2002,1
1995,GoldenEye,PG-13,Action,Pierce Brosnan,Martin Campbell,Ian Fleming,UK,Eon Productions,7.2,209588,60000000,352200000,106400000,245800000,130,11/17/1995,1
2011,X-Men: First Class,PG-13,Action,James McAvoy,Matthew Vaughn,Ashley Miller,USA,Twentieth Century Fox Film Corporation,7.8,561501,160000000,353600000,146400000,207200000,132,6/3/2011,1
1988,Rain Man,R,Drama,Dustin Hoffman,Barry Levinson,Barry Morrow,USA,United Artists,8,408473,25000000,354800000,172800000,182000000,133,12/16/1988,1
1995,Apollo 13,PG,Adventure,Tom Hanks,Ron Howard,Jim Lovell,USA,Universal Pictures,7.6,224635,52000000,355200000,173800000,181400000,140,6/30/1995,1
1999,American Beauty,R,Drama,Kevin Spacey,Sam Mendes,Alan Ball,USA,DreamWorks,8.4,899755,15000000,356300000,130100000,226200000,122,10/1/1999,1
2015,Mad Max: Fury Road,R,Action,Tom Hardy,George Miller,George Miller,Australia,Warner Bros. Pictures,8.1,661575,150000000,356400000,147100000,209300000,120,5/15/2015,1
2012,Hotel Transylvania,PG,Animation,Adam Sandler,Genndy Tartakovsky,Peter Baynham,USA,Columbia Pictures,7.1,180944,85000000,358400000,148300000,210100000,91,9/28/2012,1
2002,Minority Report,PG-13,Action,Tom Cruise,Steven Spielberg,Philip K. Dick,USA,Twentieth Century Fox Film Corporation,7.7,430579,102000000,358400000,132100000,226300000,145,6/21/2002,1
1992,Home Alone 2: Lost in New York,PG,Adventure,Macaulay Culkin,Chris Columbus,John Hughes,USA,Twentieth Century Fox Film Corporation,6.6,226766,18000000,359000000,173600000,185400000,120,11/20/1992,1
2010,The Karate Kid,PG,Action,Jackie Chan,Harald Zwart,Christopher Murphey,USA,Columbia Pictures,6.2,131784,40000000,359100000,176600000,182500000,140,6/11/2010,1
2014,Night at the Museum: Secret of the Tomb,PG,Adventure,Ben Stiller,Shawn Levy,David Guion,UK,Twentieth Century Fox Film Corporation,6.2,78239,127000000,360400000,113700000,246600000,98,12/19/2014,1
1999,The World Is Not Enough,PG-13,Action,Pierce Brosnan,Michael Apted,Neal Purvis,UK,Danjaq,6.4,165433,135000000,361800000,126900000,234900000,128,11/19/1999,1
2013,The Hangover Part III,R,Comedy,Bradley Cooper,Todd Phillips,Todd Phillips,USA,Green Hat Films,5.9,245488,103000000,362000000,112200000,249800000,100,5/23/2013,1
2014,Noah,PG-13,Action,Russell Crowe,Darren Aronofsky,Darren Aronofsky,USA,Paramount Pictures,5.8,213644,125000000,362600000,101200000,261400000,138,3/28/2014,1
2004,Ocean's Twelve,PG-13,Crime,George Clooney,Steven Soderbergh,George Nolfi,USA,Warner Bros.,6.5,305800,110000000,362700000,125500000,237200000,125,12/10/2004,1
1998,A Bug's Life,G,Animation,Kevin Spacey,John Lasseter,John Lasseter,USA,Pixar Animation Studios,7.2,226736,120000000,363400000,162800000,200600000,95,11/25/1998,1
1999,Notting Hill,PG-13,Comedy,Hugh Grant,Roger Michell,Richard Curtis,UK,PolyGram Filmed Entertainment,7.1,220588,42000000,363900000,116100000,247800000,124,5/28/1999,1
2004,Shark Tale,PG,Animation,Will Smith,Bibo Bergeron,Michael J. Wilson,USA,DreamWorks Animation,6,142203,75000000,367300000,160900000,206400000,90,10/1/2004,1
2015,Home,PG,Animation,Jim Parsons,Tim Johnson,Tom J. Astle,USA,DreamWorks Animation,6.7,79374,135000000,367700000,174700000,193000000,94,3/27/2015,1
2005,Hitch,PG-13,Comedy,Will Smith,Andy Tennant,Kevin Bisch,USA,Columbia Pictures Corporation,6.6,259673,70000000,368100000,179500000,188600000,118,2/11/2005,1
2014,Gone Girl,R,Crime,Ben Affleck,David Fincher,Gillian Flynn,USA,Twentieth Century Fox Film Corporation,8.1,660194,61000000,368100000,167800000,200300000,149,10/3/2014,1
2001,Jurassic Park III,PG-13,Action,Sam Neill,Joe Johnston,Michael Crichton,USA,Universal Pictures,5.9,239644,93000000,368800000,181200000,187600000,92,7/18/2001,1
1993,The Fugitive,PG-13,Action,Harrison Ford,Andrew Davis,Jeb Stuart,USA,Warner Bros.,7.8,226899,44000000,368900000,183900000,185000000,130,8/6/1993,1
2014,Edge of Tomorrow,PG-13,Action,Tom Cruise,Doug Liman,Christopher McQuarrie,USA,Warner Bros.,7.9,486882,178000000,369200000,100200000,269000000,113,6/6/2014,1
1998,There's Something About Mary,R,Comedy,Ben Stiller,Bobby Farrelly,Ed Decter,USA,Twentieth Century Fox Film Corporation,7.1,259794,23000000,369900000,176500000,193400000,119,7/15/1998,1
2011,Captain America: The First Avenger,PG-13,Action,Chris Evans,Joe Johnston,Christopher Markus,USA,Paramount Pictures,6.9,563504,140000000,370600000,176700000,193900000,124,7/22/2011,1
2009,Terminator Salvation,PG-13,Action,Christian Bale,McG,John Brancato,USA,"Halcyon Company, The",6.6,301842,200000000,371400000,125300000,246000000,115,5/21/2009,1
2007,The Golden Compass,PG-13,Adventure,Nicole Kidman,Chris Weitz,Chris Weitz,UK,New Line Cinema,6.1,157342,180000000,372200000,70100000,302100000,113,12/7/2007,1
2009,X-Men Origins: Wolverine,PG-13,Action,Hugh Jackman,Gavin Hood,David Benioff,USA,Twentieth Century Fox Film Corporation,6.7,397838,150000000,373100000,179900000,193200000,107,5/1/2009,1
2014,Penguins of Madagascar,PG,Animation,Tom McGrath,Eric Darnell,Michael Colton,USA,DreamWorks Animation,6.7,66287,132000000,373600000,83400000,290200000,92,11/26/2014,1
2011,The Adventures of Tintin,PG,Animation,Jamie Bell,Steven Spielberg,Hergé,USA,Columbia Pictures,7.4,188070,135000000,374000000,77600000,296400000,107,12/21/2011,1
2000,What Women Want,PG-13,Comedy,Mel Gibson,Nancy Meyers,Josh Goldsmith,USA,Paramount Pictures,6.4,169079,70000000,374100000,182800000,191300000,127,12/15/2000,1
2013,G.I. Joe: Retaliation,PG-13,Action,Dwayne Johnson,Jon M. Chu,Rhett Reese,USA,Paramount Pictures,5.8,154740,130000000,375700000,122500000,253200000,110,3/28/2013,1
2008,Slumdog Millionaire,R,Drama,Dev Patel,Danny Boyle,Simon Beaufoy,UK,Warner Bros.,8,690202,15000000,377900000,141300000,236600000,120,12/25/2008,1
1994,True Lies,R,Action,Arnold Schwarzenegger,James Cameron,Claude Zidi,USA,Twentieth Century Fox Film Corporation,7.2,202934,115000000,378900000,146300000,232600000,141,7/15/1994,1
1998,Godzilla,PG-13,Action,Matthew Broderick,Roland Emmerich,Dean Devlin,USA,Centropolis Film Productions,5.3,160038,130000000,379000000,136300000,242700000,139,5/20/1998,1
2014,Godzilla,PG-13,Action,Aaron Taylor-Johnson,Gareth Edwards,Max Borenstein,USA,Warner Bros.,6.4,323734,160000000,379000000,136300000,242700000,123,5/16/2014,1
2002,Ice Age,PG,Animation,Denis Leary,Chris Wedge,Michael J. Wilson,USA,Twentieth Century Fox Film Corporation,7.6,357258,59000000,383300000,176400000,206900000,81,3/15/2002,1
2007,Live Free or Die Hard,PG-13,Action,Bruce Willis,Len Wiseman,Mark Bomback,USA,Twentieth Century Fox Film Corporation,7.2,352297,110000000,383500000,134500000,249000000,128,6/27/2007,1
1991,Robin Hood: Prince of Thieves,PG-13,Action,Kevin Costner,Kevin Reynolds,Pen Densham,USA,Warner Bros.,6.9,154125,48000000,390500000,165500000,225000000,143,6/14/1991,1
2013,The Wolf of Wall Street,R,Biography,Leonardo DiCaprio,Martin Scorsese,Terence Winter,USA,Red Granite Pictures,8.2,895552,100000000,392000000,116900000,275100000,180,12/25/2013,1
1998,Twilight,R,Crime,Paul Newman,Robert Benton,Robert Benton,USA,Cinehaus,6.2,8769,20000000,392600000,192800000,199800000,94,3/6/1998,1
2008,Twilight,PG-13,Drama,Kristen Stewart,Catherine Hardwicke,Melissa Rosenberg,USA,Summit Entertainment,5.2,366772,37000000,392600000,192800000,199800000,122,11/21/2008,1
2012,Snow White and the Huntsman,PG-13,Action,Kristen Stewart,Rupert Sanders,Evan Daugherty,USA,Roth Films,6.1,243327,170000000,396600000,155300000,241300000,127,6/1/2012,1
2006,Mission: Impossible III,PG-13,Action,Tom Cruise,J.J. Abrams,Alex Kurtzman,USA,Paramount Pictures,6.9,275630,150000000,397900000,134000000,263800000,126,5/5/2006,1
2008,The Mummy: Tomb of the Dragon Emperor,PG-13,Action,Brendan Fraser,Rob Cohen,Alfred Gough,USA,Universal Pictures,5.2,128515,145000000,401100000,102500000,298600000,112,8/1/2008,1
2012,Prometheus,R,Adventure,Noomi Rapace,Ridley Scott,Jon Spaihts,USA,Twentieth Century Fox Film Corporation,7,503113,130000000,403400000,126500000,276900000,124,6/8/2012,1
