year,movie title,rating,genre,star,director,writer,country,company,score,votes,budget,gross,gross us,gross overseas,runtime,released,more success overseas
1989,Last Exit to Brooklyn,R,Drama,Jennifer Jason Leigh,Uli Edel,Hubert Selby Jr.,USA,Allied Filmmakers,6.9,4841,0,,1730005,,102,5/4/1990,UNK
1996,Mr. Toad's Wild Ride,PG,Adventure,Steve Coogan,Terry Jones,Terry Jones,UK,Allied Filmmakers,6.3,2601,0,,72844,,88,10/31/1997,UNK
1993,Super Mario Bros.,PG,Adventure,Bob Hoskins,Annabel Jankel,Parker Bennett,UK,Allied Filmmakers,4,40601,42000000,,20915465,,104,5/28/1993,UNK
1995,The Scarlet Letter,R,Drama,Demi Moore,Roland Joffé,Nathaniel Hawthorne,USA,Allied Stars Ltd.,5.2,12706,50000000,,10400000,,135,10/13/1995,UNK
1989,Communion,R,Biography,Christopher Walken,Philippe Mora,Whitley Strieber,USA,Allied Vision,5.7,4489,5000000,,1919653,,106,11/10/1989,UNK
1989,Edge of Sanity,R,Horror,Anthony Perkins,Gérard Kikoïne,J.P. Félix,UK,Allied Vision,5.3,1070,0,,102219,,85,4/14/1989,UNK
1992,The Lawnmower Man,R,Horror,Jeff Fahey,Brett Leonard,Stephen King,UK,Allied Vision,5.4,29522,10000000,,32101000,,108,3/6/1992,UNK
2016,Nerve,PG-13,Adventure,Emma Roberts,Henry Joost,Jeanne Ryan,USA,Allison Shearmur Productions,6.6,81127,20000000,,38562379,,96,7/27/2016,UNK
2015,Jem and the Holograms,PG,Adventure,Aubrey Peeples,Jon M. Chu,Ryan Landels,USA,Allspark Pictures,4.1,5640,5000000,,2184640,,118,10/23/2015,UNK
2016,Ouija: Origin of Evil,PG-13,Horror,Elizabeth Reaser,Mike Flanagan,Mike Flanagan,USA,Allspark Pictures,6.1,35690,9000000,,34904885,,99,10/21/2016,UNK
2001,Bride of the Wind,R,Biography,Sarah Wynter,Bruce Beresford,Marilyn Levy,UK,Alma UK Limited,5.7,536,12000000,,419414,,100,1/4/2002,UNK
1991,The Knife,R,Drama,Peter Coyote,Walter Salles,Rubem Fonseca,Brazil,Alpha Filmes,6.2,510,0,,356825,,104,11/14/1992,UNK
2002,Dark Blue,R,Action,Kurt Russell,Ron Shelton,James Ellroy,USA,Alphaville Films,6.6,18124,15000000,,9059588,,118,2/21/2003,UNK
1993,Los visitantes,R,Comedy,Christian Clavier,Jean-Marie Poiré,Christian Clavier,France,Alpilles Productions,7,26753,0,,700000,,107,7/12/1996,UNK
2003,Dot the I,R,Drama,Gael García Bernal,Matthew Parkhill,Matthew Parkhill,UK,Alquimia Cinema,6.8,7701,0,,306224,,100,1/1/2004,UNK
2012,The Words,PG-13,Drama,Bradley Cooper,Brian Klugman,Brian Klugman,USA,Also Known As Pictures,7.1,64718,6000000,,11494838,,102,9/7/2012,UNK
1998,My Name Is Joe,R,Drama,Peter Mullan,Ken Loach,Paul Laverty,UK,Alta Films,7.5,6574,0,,346696,,105,1/22/1999,UNK
2002,Sweet Sixteen,R,Crime,Martin Compston,Ken Loach,Paul Laverty,UK,Alta Films,7.5,11376,0,,31538,,106,10/4/2002,UNK
2000,Amores Perros,R,Drama,Emilio Echevarría,Alejandro González Iñárritu,Guillermo Arriaga,Mexico,Altavista Films,8.1,187814,2000000,,5383834,,154,4/13/2001,UNK
2001,L.I.E.,R,Crime,Brian Cox,Michael Cuesta,Stephen M. Ryder,USA,Alter Ego Entertainment,7.2,8842,700000,,1141829,,97,11/14/2003,UNK
1986,Working Girls,UNRATED,Drama,Louise Smith,Lizzie Borden,Lizzie Borden,USA,Alternate Current,6.5,604,0,,1777378,,93,3/20/1987,UNK
2000,American Psycho,R,Crime,Christian Bale,Mary Harron,Bret Easton Ellis,USA,Am Psycho Productions,7.6,391018,7000000,,15070285,,102,4/14/2000,UNK
1989,Brenda Starr,PG,Adventure,Brooke Shields,Robert Ellis Miller,Noreen Stone,USA,AM/PM Entertainment,4.6,856,16000000,,67878,,93,4/15/1992,UNK
1986,Vamp,R,Comedy,Chris Makepeace,Richard Wenk,Donald P. Borchers,USA,Amaretto Films,5.9,3909,3300000,,4941117,,93,7/18/1986,UNK
2015,Mr. Right,R,Action,Anna Kendrick,Paco Cabezas,Max Landis,USA,Amasia Entertainment,6.3,33496,8000000,,25369,,95,4/8/2016,UNK
2016,Manchester by the Sea,R,Drama,Casey Affleck,Kenneth Lonergan,Kenneth Lonergan,USA,Amazon Studios,7.9,159673,8500000,,47695120,,137,12/16/2016,UNK
2013,Romeo & Juliet,PG-13,Drama,Hailee Steinfeld,Carlo Carlei,Julian Fellowes,UK,Amber Entertainment,5.8,9141,0,,1161089,,113,10/11/2013,UNK
1995,Balto,G,Animation,Kevin Bacon,Simon Wells,Cliff Ruby,USA,Amblimation,7.1,32984,0,,11268750,,100,12/22/1995,UNK
1991,Cape Fear,R,Crime,Robert De Niro,Martin Scorsese,John D. MacDonald,USA,Amblin Entertainment,7.3,138370,35000000,,79100000,,128,11/15/1991,UNK
1989,Dad,PG,Drama,Jack Lemmon,Gary David Goldberg,William Wharton,USA,Amblin Entertainment,6.2,3891,19000000,,19738015,,117,11/10/1989,UNK
1987,Empire of the Sun,PG,Drama,Christian Bale,Steven Spielberg,Tom Stoppard,USA,Amblin Entertainment,7.8,96566,35000000,,22238696,,153,12/25/1987,UNK
1987,Harry and the Hendersons,PG,Comedy,John Lithgow,William Dear,William Dear,USA,Amblin Entertainment,5.9,26157,0,,29760613,,110,6/5/1987,UNK
1999,In Dreams,R,Drama,Annette Bening,Neil Jordan,Bari Wood,USA,Amblin Entertainment,5.5,11323,30000000,,12017369,,100,1/15/1999,UNK
2014,The Hundred-Foot Journey,PG,Comedy,Helen Mirren,Lasse Hallström,Steven Knight,USA,Amblin Entertainment,7.3,61319,22000000,,54240821,,122,8/8/2014,UNK
1986,The Money Pit,PG,Comedy,Tom Hanks,Richard Benjamin,David Giler,USA,Amblin Entertainment,6.3,41278,10000000,,37499651,,91,3/26/1986,UNK
1996,The Trigger Effect,R,Drama,Kyle MacLachlan,David Koepp,James Burke,USA,Amblin Entertainment,5.7,5195,8000000,,3594848,,94,8/30/1996,UNK
2016,Office Christmas Party,R,Comedy,Jason Bateman,Josh Gordon,Justin Malen,USA,Amblin Partners,5.8,37358,45000000,,54730514,,105,12/9/2016,UNK
2016,The Girl on the Train,R,Crime,Emily Blunt,Tate Taylor,Erin Cressida Wilson,USA,Amblin Partners,6.5,116916,45000000,,75311445,,112,10/7/2016,UNK
1999,Eye of the Beholder,R,Drama,Ewan McGregor,Stephan Elliott,Marc Behm,Canada,Ambridge Film Partnership,4.9,13676,35000000,,16459004,,109,1/28/2000,UNK
1998,Blade,R,Action,Wesley Snipes,Stephen Norrington,David S. Goyer,USA,Amen Ra Films,7.1,206719,45000000,,70087718,,120,8/21/1998,UNK
2002,Undisputed,R,Action,Wesley Snipes,Walter Hill,David Giler,USA,Amen Ra Films,6.2,24459,20000000,,12398628,,100,8/23/2002,UNK
1987,Black Widow,R,Crime,Debra Winger,Bob Rafelson,Ronald Bass,USA,Amercent Films,6.3,7132,0,,25205460,,102,2/6/1987,UNK
1987,Broadcast News,R,Comedy,William Hurt,James L. Brooks,James L. Brooks,USA,Amercent Films,7.2,22802,20000000,,51249404,,133,12/25/1987,UNK
1987,Predator,R,Action,Arnold Schwarzenegger,John McTiernan,Jim Thomas,USA,Amercent Films,7.8,313213,15000000,,59735548,,107,6/12/1987,UNK
1987,Project X,PG,Comedy,Matthew Broderick,Jonathan Kaplan,Lawrence Lasker,USA,Amercent Films,6.1,8879,18000000,,18532286,,108,4/17/1987,UNK
1987,The Pick-up Artist,PG-13,Comedy,Molly Ringwald,James Toback,James Toback,USA,Amercent Films,5.2,5348,15000000,,13290368,,81,9/18/1987,UNK
1998,Rushmore,R,Comedy,Jason Schwartzman,Wes Anderson,Wes Anderson,USA,American Empirical Pictures,7.7,144975,9000000,,17105219,,93,2/19/1999,UNK
2003,Masked and Anonymous,PG-13,Comedy,Bob Dylan,Larry Charles,Bob Dylan,UK,American Entertainment Investors,5.5,4094,0,,533344,,112,8/8/2003,UNK
1999,Wing Commander,PG-13,Action,Freddie Prinze Jr.,Chris Roberts,Chris Roberts,USA,American Entertainment Investors,4.2,15148,30000000,,11576087,,100,3/12/1999,UNK
1988,Alien Nation,R,Action,James Caan,Graham Baker,Rockne S. O'Bannon,USA,American Entertainment Partners II L.P.,6.3,12143,16000000,,25216243,,91,10/7/1988,UNK
1988,Big,PG,Comedy,Tom Hanks,Penny Marshall,Gary Ross,USA,American Entertainment Partners II L.P.,7.3,164257,18000000,,114968774,,104,6/3/1988,UNK
2013,Parkland,PG-13,Drama,Zac Efron,Peter Landesman,Peter Landesman,USA,"American Film Company, The",6.3,12682,10000000,,652355,,93,10/2/2013,UNK
2010,The Conspirator,PG-13,Crime,Robin Wright,Robert Redford,James D. Solomon,USA,"American Film Company, The",6.9,25030,25000000,,11538204,,122,4/15/2011,UNK
1986,The Morning After,R,Crime,Jane Fonda,Sidney Lumet,James Cresson,USA,American Filmworks,6,4943,0,,25147055,,103,12/25/1986,UNK
1994,Amateur,R,Comedy,Isabelle Huppert,Hal Hartley,Hal Hartley,USA,American Playhouse,7,4804,2300000,,856422,,105,5/19/1995,UNK
1991,Cabeza de Vaca,R,Adventure,Juan Diego,Nicolás Echevarría,Nicolás Echevarría,Mexico,American Playhouse,7,883,0,,789127,,100,4/17/1992,UNK
1991,Daughters of the Dust,TV-PG,Drama,Cora Lee Day,Julie Dash,Julie Dash,UK,American Playhouse,6.5,1135,0,,1642436,,100,12/27/1991,UNK
1993,Ethan Frome,PG,Drama,Liam Neeson,John Madden,Richard Nelson,UK,American Playhouse,6.3,1798,0,,296081,,99,3/12/1993,UNK
1989,Longtime Companion,R,Drama,Stephen Caffrey,Norman René,Craig Lucas,USA,American Playhouse,7.5,4560,3000000,,4609953,,96,5/1/1990,UNK
1995,My Family,R,Drama,Jimmy Smits,Gregory Nava,Gregory Nava,USA,American Playhouse,7.3,3222,5500000,,11079373,,128,5/3/1995,UNK
1986,Native Son,PG,Drama,Victor Love,Jerrold Freedman,Richard Wesley,USA,American Playhouse,5.9,448,2000000,,1301121,,111,12/12/1986,UNK
1989,Signs of Life,PG-13,Drama,Beau Bridges,John David Coles,Mark Malone,USA,American Playhouse,6.3,319,0,,95836,,90,5/25/1991,UNK
